Feature,Importance
Category_Grocery,0.2785303847223956
Agent_Rating,0.1809986240211159
distance_km,0.1088465853145729
Traffic_Low,0.10579109686593
Agent_Age,0.0843375271455265
Weather_Sunny,0.0618714725338514
Weather_Cloudy,0.0465897437093618
Weather_Fog,0.038857924183812
Vehicle_motorcycle,0.0258186071543507
Traffic_Jam,0.0242203449823191
Traffic_Medium,0.0137437679210582
Area_Metropolitian,0.0064327887134461
Area_Semi-Urban,0.0051786148194914
order_hour,0.0025079846134959
Weather_Sandstorms,0.0022886326982964
